,Num_block,Block_ID,Trial_ID,Resp_loc,Resp_conf,Correct,RT_resp,RT_conf,Wager,N,x_mean,Sub_ID
410,1.0,3.0,111.0,65.0,20.0,1.0,2.733237371998257,1.455295241001295,6.0,3.0,58.375024032962266,9
411,1.0,3.0,112.0,82.0,14.0,1.0,5.038988425003481,1.3552690890064696,7.0,3.0,84.47649035774252,9
412,1.0,3.0,113.0,76.0,20.0,1.0,1.878873855996062,1.004325465997681,6.0,3.0,76.21696375641027,9
413,1.0,3.0,114.0,39.0,8.0,0.0,3.1334872120060027,0.9499135889927857,0.0,2.0,43.502393464536155,9
414,1.0,3.0,115.0,51.0,16.0,0.0,2.357561376004014,0.6418661389907356,0.0,4.0,41.584954370855726,9
415,1.0,3.0,116.0,81.0,8.0,1.0,1.9100291689974256,0.7238518130034208,10.0,2.0,79.43451016163169,9
416,1.0,3.0,117.0,32.0,14.0,0.0,2.330969397997251,2.2585395729984157,0.0,5.0,23.848839404210626,9
417,1.0,3.0,118.0,40.0,4.0,1.0,3.055711214998155,0.8360258549946593,12.0,3.0,42.12807667270605,9
418,1.0,3.0,119.0,90.0,2.0,1.0,3.741171526009566,0.9559078899910673,14.0,2.0,90.94164023790213,9
419,1.0,3.0,120.0,56.0,10.0,0.0,4.946115565006039,0.7097005420073401,0.0,4.0,61.970651783510945,9
420,1.0,3.0,121.0,37.0,22.0,1.0,2.5844291639950825,0.6858470570005011,5.0,3.0,44.46619774337474,9
421,1.0,3.0,122.0,69.0,22.0,1.0,3.3182734840083867,0.7622049109922955,5.0,3.0,59.954456687836746,9
422,1.0,3.0,123.0,53.0,18.0,1.0,2.445168399004615,0.7382262890023412,6.0,4.0,53.04746561605202,9
423,1.0,3.0,124.0,55.0,10.0,1.0,3.3668747749907197,0.7054012320004404,9.0,3.0,56.395895983729794,9
424,1.0,3.0,125.0,52.0,16.0,1.0,1.8938632370118285,0.8819926519936416,7.0,4.0,46.07890080032752,9
425,1.0,3.0,126.0,57.0,32.0,1.0,2.8385863919975236,0.9556031179963611,3.0,3.0,48.699090375043426,9
426,1.0,3.0,127.0,48.0,18.0,1.0,1.936572350008646,0.709971364994999,6.0,6.0,42.53830761108287,9
427,1.0,3.0,128.0,82.0,8.0,1.0,2.566553896002006,0.8717234549985733,10.0,3.0,81.70456159779532,9
428,1.0,3.0,129.0,59.0,14.0,1.0,3.557199495000532,0.6713133440061938,7.0,2.0,59.448147317102304,9
429,1.0,3.0,130.0,52.0,42.0,1.0,3.607307757003582,0.6884748160082381,2.0,6.0,52.691219094185755,9
430,1.0,3.0,131.0,54.0,22.0,1.0,1.5529561650037067,0.4867295829899376,5.0,4.0,63.90565329441053,9
431,1.0,3.0,132.0,47.0,20.0,1.0,2.1312877379968995,0.6246403779950924,6.0,3.0,48.45754924533435,9
432,1.0,3.0,133.0,22.0,22.0,1.0,2.52496228099335,3.159046193002723,5.0,2.0,15.401603175066048,9
433,1.0,3.0,134.0,34.0,16.0,0.0,6.4808246299944585,1.0783194780087797,0.0,5.0,48.13858967509225,9
434,1.0,3.0,135.0,50.0,28.0,1.0,3.5265110679902136,0.6015392919944134,4.0,6.0,36.40064034343241,9
435,1.0,3.0,136.0,36.0,8.0,0.0,5.105617549997987,0.8370075900020311,0.0,5.0,41.187140284971576,9
